ID,City,Hospital N,TYPE,ADDRESS,WEBSITE,BEDS,NAICS_DESC,result_num,status,formatted_,place_id,location_t,Latitude,Longitude
10,DES MOINES,SELECT SPECIALTY HOSPITAL - DES MOINES,LONG TERM CARE,"1111 6TH AVENUE, 4TH FLOOR",http://desmoines.selectspecialtyhospitals.com/,21,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,0,OK,"1111 6th Ave 4TH FLOOR, Des Moines, IA 50314, USA",EjExMTExIDZ0aCBBdmUgNFRIIEZMT09SLCBEZXMgTW9pbmVzLCBJQSA1MDMxNCwgVVNBIiUaIwoWChQKEgnvWggGCpnuhxHRTeQQuuS2HBIJNFRIIEZMT09S,ROOFTOP,41.5986713,-93.6228884
11,CEDAR RAPIDS,CONTINUING CARE HOSPITAL,LONG TERM CARE,"1026 A AVENUE NE, 6TH FLOOR",https://www.unitypoint.org/cedarrapids/services-continuing-care-hospital.aspx,24,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,0,OK,"1026 A Ave NE 6TH FLOOR, Cedar Rapids, IA 52402, USA",EjQxMDI2IEEgQXZlIE5FIDZUSCBGTE9PUiwgQ2VkYXIgUmFwaWRzLCBJQSA1MjQwMiwgVVNBIiUaIwoWChQKEgnBY11sS_fkhxH1qn_ptncDAxIJNlRIIEZMT09S,ROOFTOP,41.9853036,-91.66043220000002
12,CRESCO,REGIONAL HEALTH SERVICES OF HOWARD COUNTY,CRITICAL ACCESS,235 EIGHTH AVENUE WEST,http://www.rhshc.com,19,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"235 8th Ave W, Cresco, IA 52136, USA",ChIJtSGvyyVC-ocRplLcC8ygeAU,ROOFTOP,43.3812411,-92.11786959999999
13,IOWA CITY,IOWA CITY VA MEDICAL CENTER,MILITARY,601 HIGHWAY 6 WEST,http://www.iowacity.va.gov/,-999,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"601 US-6, Iowa City, IA 52246, USA",ChIJ6e83A49B5IcRbtaS9nUBscU,ROOFTOP,41.6636987,-91.547688
14,ESTHERVILLE,AVERA HOLY FAMILY HOSPITAL,CRITICAL ACCESS,826 NORTH 8TH STREET,http://www.avera-holyfamily.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"826 N 8th St, Estherville, IA 51334, USA",ChIJJ2o8nhdH84cR95Lb9n3WtoM,ROOFTOP,43.4095751,-94.8337105
15,DYERSVILLE,MERCY MEDICAL CENTER-DYERSVILLE,CRITICAL ACCESS,1111 3RD STREET SW,http://www.mercydubuque.com/mercy-dyersville,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1111 3rd St SW, Dyersville, IA 52040, USA",ChIJcTbt9PlT44cR9f3IZzZbmTs,ROOFTOP,42.4756465,-91.1306548
16,CHARLES CITY,FLOYD COUNTY MEMORIAL HOSPITAL,CRITICAL ACCESS,800 11TH ST,http://www.fcmc.us.com/,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"800 11th St, Charles City, IA 50616, USA",ChIJ51u1MBFk8IcRc5nzou4qp5Q,ROOFTOP,43.05174299999999,-92.685034
17,FORT MADISON,FORT MADISON COMMUNITY HOSPITAL,GENERAL ACUTE CARE,5445 AVENUE O,http://www.fmchosp.com,50,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"5445 Avenue O, Fort Madison, IA 52627, USA",ChIJlfM6evUn54cRH_--5o4RCdo,ROOFTOP,40.625953,-91.3835555
18,NEVADA,STORY COUNTY HOSPITAL NORTH,GENERAL ACUTE CARE,640 6TH STREET,http://www.storymedical.org,17,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"640 S 19th St, Nevada, IA 50201, USA",ChIJcdK4LNBn7ocRfr4RWzU-e04,ROOFTOP,42.004822,-93.4367626
19,STORY CITY,STORY CITY MEMORIAL HOSPITAL,GENERAL ACUTE CARE,812 ELM AVENUE,NOT AVAILABLE,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"812 Elm Ave, Story City, IA 50248, USA",ChIJIyvbg0UN7ocRqwaN9C69na8,ROOFTOP,42.1903181,-93.59412320000001
20,FORT DODGE,TRINITY REGIONAL HOSPITAL,GENERAL ACUTE CARE,802 SOUTH KENYON ROAD,http://www.unitypoint.org/fortdodge/Default.aspx,200,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"802 Kenyon Rd, Fort Dodge, IA 50501, USA",ChIJRwATwcp38ocRzaaUBSq2cEc,ROOFTOP,42.4924492,-94.19338049999999
21,IOWA FALLS,HANSEN FAMILY HOSPITAL,CRITICAL ACCESS,920 SOUTH OAK STREET,http://www.hansenfamilyhospital.com/,35,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"920 S Oak St, Iowa Falls, IA 50126, USA",ChIJHcMjYP4n7ocRTVomc34FJok,ROOFTOP,42.50094500000001,-93.2608546
22,ANAMOSA,JONES REGIONAL MEDICAL CENTER,CRITICAL ACCESS,1795 HIGHWAY 64 EAST,NOT AVAILABLE,22,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1795 IA-64 E, Anamosa, IA 52205, USA",ChIJX8laCH-c5IcRzVwm_5CxfXA,ROOFTOP,42.1041494,-91.2684281
23,PELLA,PELLA REGIONAL HEALTH CENTER,CRITICAL ACCESS,404 JEFFERSON STREET,http://www.pellahealth.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"404 Jefferson St, Pella, IA 50219, USA",ChIJb6MMVVt56IcRn4_2r3DDvGY,ROOFTOP,41.4134489,-92.91151
24,SIOUX CENTER,SIOUX CENTER HEALTH,CRITICAL ACCESS,1101 9TH ST SE,http://siouxcenterhealth.org/,21,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1101 9th St SE, Sioux Center, IA 51250, USA",ChIJg8HnXvMzjIcReAXWTnFOJsY,ROOFTOP,43.068417,-96.15816679999999
25,EMMETSBURG,PALO ALTO COUNTY HOSPITAL,GENERAL ACUTE CARE,3201 1ST STREET,http://www.pachs.com,47,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"3201 1st St, Emmetsburg, IA 50536, USA",ChIJJwtM1QYf84cROvo9ZBcd5iY,ROOFTOP,43.11987380000001,-94.6910562
26,ONAWA,BURGESS MEMORIAL HOSPITAL,CRITICAL ACCESS,1600 DIAMOND AVENUE,http://www.burgesshc.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1600 Diamond St, Onawa, IA 51040, USA",ChIJu7elOAM_kocRV73NtHE7LPo,ROOFTOP,42.0253229,-96.10573130000002
27,SIOUX CITY,ST. LUKESS REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE,2720 STONE PARK BOULEVARD,https://www.unitypoint.org/siouxcity/Default.aspx,346,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"2720 Stone Park Blvd, Sioux City, IA 51104, USA",ChIJvWFIJVj9jYcRcWZV8M_m9U4,ROOFTOP,42.5194638,-96.40597439999999
28,DES MOINES,BROADLAWNS MEDICAL CENTER,GENERAL ACUTE CARE,1801 HICKMAN ROAD,http://www.broadlawns.org,200,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1801 Hickman Rd, Des Moines, IA 50314, USA",ChIJv1FPnV2Z7ocRHDpEzaPta1Q,ROOFTOP,41.616506,-93.64214969999999
29,DES MOINES,MERCY FRANKLIN CENTER,PSYCHIATRIC,1818 48TH STREET,http://www.mercydesmoines.org/behavioralhealth/,18,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1818 48th St, Des Moines, IA 50310, USA",ChIJY3nIDJee7ocRglNxG4Q7af4,ROOFTOP,41.61068969999999,-93.68347969999999
30,DAVENPORT,GENESIS MEDICAL CENTER-DAVENPORT,GENERAL ACUTE CARE,1227 EAST RUSHOLME STREET,http://www.genesishealth.com,502,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1227 E Rusholme St, Davenport, IA 52803, USA",ChIJCQARr1004ocRkNGdlxJ4KVo,ROOFTOP,41.5416972,-90.55652219999999
31,CHARITON,LUCAS COUNTY HEALTH CENTER,GENERAL ACUTE CARE,1200 NORTH 7TH STREET,http://www.lchcia.com,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1200 N 7th St, Chariton, IA 50049, USA",ChIJF3ef3Ks76YcRQCDFxuwIGnA,ROOFTOP,41.0279241,-93.3019923
32,NEW HAMPTON,MERCY MEDICAL CENTER-NEW HAMPTON,CRITICAL ACCESS,308 NORTH MAPLE AVENUE,http://www.mercynewhampton.com,18,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"308 N Maple Ave, New Hampton, IA 50659, USA",ChIJCdxXmMKF-ocRdEVoEp5WhDQ,ROOFTOP,43.0626357,-92.3226258
33,OSCEOLA,CLARKE COUNTY PUBLIC HOSPITAL,CRITICAL ACCESS,800 SOUTH FILLMORE,http://www.clarkehosp.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"800 S Fillmore St, Osceola, IA 50213, USA",ChIJK1nuLPLi64cRlwk-nrtHMPQ,ROOFTOP,41.025958,-93.76848299999999
34,GRINNELL,GRINNELL GENERAL HOSPITAL,GENERAL ACUTE CARE,210 FOURTH AVENUE,http://www.grmc.us,49,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"210 4th Ave, Grinnell, IA 50112, USA",ChIJ28X_52Ny74cR9IBZEWOSGyc,ROOFTOP,41.74270629999999,-92.73430789999999
35,ORANGE CITY,ORANGE CITY MUNICIPAL HOSPITAL,GENERAL ACUTE CARE,403 N CENTRAL AVE,http://www.ochealthsystem.org,104,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"403 W Central Ave, Orange City, FL 32763, USA",Ei00MDMgVyBDZW50cmFsIEF2ZSwgT3JhbmdlIENpdHksIEZMIDMyNzYzLCBVU0EiGxIZChQKEgn1oaCJeBDniBFS4RmE8IX04RCTAw,RANGE_INTERPOLATED,28.9498113,-81.303116
36,BETTENDORF,UNITY POINT HEALTH TRINITY,GENERAL ACUTE CARE,4500 UTICA RIDGE ROAD,http://www.trinityqc.com,139,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"4500 Utica Ridge Rd, Bettendorf, IA 52722, USA",ChIJU8qm7Hs24ocRqos09sxHtxQ,ROOFTOP,41.5660801,-90.5198013
37,WEST BURLINGTON,GREAT RIVER MEDICAL CENTER,GENERAL ACUTE CARE,1221 SOUTH GEAR AVENUE,http://www.greatrivermedical.org,213,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1221 S Gear Ave, West Burlington, IA 52655, USA",ChIJxSY0lGAy4YcRVr1rWMMDla0,ROOFTOP,40.8096597,-91.1730702
38,BOONE,BOONE COUNTY HOSPITAL,CRITICAL ACCESS,1015 UNION,http://www.boonehospital.com,42,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1015 Union St, Boone, IA 50036, USA",ChIJheQ2kxzb7YcROhpFYlNJUHU,GEOMETRIC_CENTER,42.0559904,-93.8771438
39,KNOXVILLE,KNOXVILLE AREA COMMUNITY HOSPITAL,CRITICAL ACCESS,1002 SOUTH LINCOLN,http://www.knoxvillehospital.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1002 S Lincoln St, Knoxville, IA 50138, USA",ChIJ7dZmxuXV7ocRvXLFOoyHcaw,ROOFTOP,41.3111208,-93.11172289999999
40,HAWARDEN,HAWARDEN REGIONAL HEALTHCARE,CRITICAL ACCESS,1111 11TH STREET,http://hawardenregionalhealthcare.com/,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1111 11th St, Hawarden, IA 51023, USA",ChIJm56FrKWAjocRaCw6WvIBWx4,ROOFTOP,42.998442,-96.4799443
41,WATERLOO,COVENANT MEDICAL CENTER,GENERAL ACUTE CARE,3421 WEST 9TH STREET,http://www.wheatoniowa.org,346,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"3421 W 9th St, Waterloo, IA 50702, USA",ChIJ8YCXk8tT5YcRy1Z3_Ltqz14,ROOFTOP,42.4610813,-92.34616
42,OTTUMWA,OTTUMWA REGIONAL HEALTH CENTER,GENERAL ACUTE CARE,1001 EAST PENNSYLVANIA,http://www.ottumwaregionalhealth.com,217,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1001 E Pennsylvania Ave, Ottumwa, IA 52501, USA",ChIJPxhmSg4c5ocRrUud1LGiUa4,ROOFTOP,41.0288887,-92.38950489999999
43,SPENCER,SPENCER MUNICIPAL HOSPITAL,GENERAL ACUTE CARE,1200 FIRST AVENUE EAST,http://www.spencerhospital.org,99,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1200 1st Ave E, Spencer, IA 51301, USA",ChIJEfCCdeLTjIcRsnVY-mqsN3M,ROOFTOP,43.1494671,-95.14335380000001
44,INDEPENDENCE,MENTAL HEALTH INSITUTE HOSPITAL,PSYCHIATRIC,2277 IOWA AVENUE,http://www.dhs.state.ia.us,95,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"2277 Iowa Ave, Independence, IA 50644, USA",EioyMjc3IElvd2EgQXZlLCBJbmRlcGVuZGVuY2UsIElBIDUwNjQ0LCBVU0EiGxIZChQKEgk1Ln9UGyzlhxGcDoXqqXKrcxDlEQ,RANGE_INTERPOLATED,42.4614243,-91.91966479999999
45,DUBUQUE,UNITYPOINT HEALTHCARE-FINLEY HOSPITAL,GENERAL ACUTE CARE,350 NORTH GRANDVIEW AVENUE,http://www.finleyhospital.org,142,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"350 N Grandview Ave, Dubuque, IA 52001, USA",ChIJy5yEwXEs44cRl3Ejt9abMf0,ROOFTOP,42.4962806,-90.6859143
46,DES MOINES,MERCY MEDICAL CENTER-DES MOINES,GENERAL ACUTE CARE,1111 6TH AVENUE,http://www.mercydesmoines.org,656,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1111 6th Ave, Des Moines, IA 50314, USA",ChIJ71oIBgqZ7ocR0U3kELrkthw,ROOFTOP,41.5986713,-93.6228884
47,DUBUQUE,MERCY MEDICAL CENTER-DUBUQUE,GENERAL ACUTE CARE,250 MERCY DRIVE,http://www.mercydubuque.com,303,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"250 Mercy Dr, Dubuque, IA 52001, USA",ChIJC1tIB4sr44cRjnzA1yfj5fw,ROOFTOP,42.492721,-90.6750809
48,ATLANTIC,CASS COUNTY MEMORIAL HOSPITAL,CRITICAL ACCESS,1501 EAST TENTH STREET,http://www.casshealth.org,33,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1501 E 10th St, Atlantic, IA 50022, USA",ChIJ0b4EZ-6z7IcRaZDedqbuO1s,ROOFTOP,41.4012457,-94.9911102
49,DES MOINES,IOWA LUTHERAN HOSPITAL,GENERAL ACUTE CARE,700 UNIVERSITY,http://www.iowahealth.org,224,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"700 E University Ave, Des Moines, IA 50316, USA",ChIJJbTUu7yZ7ocRa4b0nhlnm2w,ROOFTOP,41.6021918,-93.6097994
50,DES MOINES,IOWA METHODIST MEDICAL CENTER,GENERAL ACUTE CARE,1200 PLEASANT STREET,http://www.iowahealth.org,460,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1200 Pleasant St, Des Moines, IA 50309, USA",ChIJbUWrYxuZ7ocRs-29ppt6a0g,ROOFTOP,41.589149,-93.63382469999999
51,KEOKUK,KEOKUK AREA HOSPITAL,GENERAL ACUTE CARE,1600 MORGAN STREET,http://www.keokukhealthsystems.org,71,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1600 Morgan St, Keokuk, IA 52632, USA",ChIJBaU_d0E654cRotZ7W1ZEc_0,ROOFTOP,40.4069589,-91.3881705
52,IDA GROVE,HORN MEMORIAL HOSPITAL,CRITICAL ACCESS,701 E 2ND ST,http://www.hornmemorialhospital.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"701 E 2nd St, Ida Grove, IA 51445, USA",ChIJiwDGzEuZkocRfGZK0Y36TOo,ROOFTOP,42.3386574,-95.4594755
53,FAIRFIELD,JEFFERSON COUNTY HEALTH CENTER,CRITICAL ACCESS,2000 S MAIN,NOT AVAILABLE,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"2000 S Main St, Fairfield, IA 52556, USA",ChIJeYhXBUxm5ocRgFBGgbAdRnc,ROOFTOP,40.9860206,-91.965722
54,WAUKON,VETERANS MEMORIAL HOSPITAL,CRITICAL ACCESS,40 1ST STREET SE,http://www.vmhospital.com,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"40 1st St SE, Waukon, IA 52172, USA",ChIJnZEQchqZ-4cR0YHmxkcv4dU,ROOFTOP,43.2683425,-91.4730295
55,DENISON,CRAWFORD COUNTY MEMORIAL HOSPITAL,CRITICAL ACCESS,100 MEDICAL PARKWAY,http://www.ccmhia.com/,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"100 Medical Pkwy, Denison, IA 51442, USA",ChIJ0yTO1RvCkocRdY9YEUEYnOg,ROOFTOP,42.0243513,-95.3781695
56,WEST DES MOINES,MERCY MEDICAL CENTER WEST LAKES,GENERAL ACUTE CARE,1755 59TH PLACE,http://www.mercydesmoines.org/,146,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1755 59th Pl, West Des Moines, IA 50266, USA",ChIJr6xxsRgh7IcRoML2RtkUrUw,ROOFTOP,41.5973559,-93.78970930000001
57,WEST DES MOINES,METHODIST WEST HOSPITAL,GENERAL ACUTE CARE,1660 60TH ST,http://www.unitypoint.org/desmoines/methodist-west-hospital.aspx,95,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1660 60th St, West Des Moines, IA 50266, USA",ChIJp1ZYmRch7IcRQt87rP1PI1k,ROOFTOP,41.5964416,-93.7952775
58,KEOSAUQUA,VAN BUREN COUNTY HOSPITAL,CRITICAL ACCESS,304 FRANKLIN STREET,http://www.vbch.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"304 Franklin St, Keosauqua, IA 52565, USA",EikzMDQgRnJhbmtsaW4gU3QsIEtlb3NhdXF1YSwgSUEgNTI1NjUsIFVTQSIbEhkKFAoSCYMzd0KyUeaHEe-FpEt9WAW7ELAC,RANGE_INTERPOLATED,40.7365153,-91.9596057
59,CORALVILLE,IOWA MEDICAL AND CLASSIFICATION CENTER,GENERAL ACUTE CARE,2700 CORAL RIDGE AVENUE,http://oakdaleprison.com/,46,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"2700 Coral Ridge Ave, Coralville, IA 52241, USA",Ei8yNzAwIENvcmFsIFJpZGdlIEF2ZSwgQ29yYWx2aWxsZSwgSUEgNTIyNDEsIFVTQSIbEhkKFAoSCdEcyf-FROSHEXSFwqJ2y4VVEIwV,RANGE_INTERPOLATED,41.7146674,-91.60797339999999
60,KNOXVILLE,DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,MILITARY,1515 WEST PLEASANT STREET,http://www1.va.gov/directory/guide/facility.asp?ID=66,-999,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1515 W Pleasant St, Knoxville, IA 50138, USA",ChIJP8BzuArW7ocRP-3QqGsUCbM,ROOFTOP,41.32027129999999,-93.1170353
61,SIBLEY,OSCEOLA COMMUNITY HOSPITAL,CRITICAL ACCESS,600 9TH AVENUE NORTH,http://www.avera.org/osceola-community-hospital/,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"600 9th Ave N, Sibley, IA 51249, USA",ChIJX8GI7vBhjIcRMkCSv-JdWTo,ROOFTOP,43.41034030000001,-95.7422072
62,CLARINDA,CLARINDA REGIONAL HEALTH CENTER,CRITICAL ACCESS,220 ESSIE DAVISON DRIVE,NOT AVAILABLE,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"220 Essie Davison Dr, Clarinda, IA 51632, USA",ChIJu5Vhvt4y64cR4itESwa1w7g,ROOFTOP,40.7234542,-95.0431997
63,POCAHONTAS,POCAHONTAS COMMUNITY HOSPITAL,CRITICAL ACCESS,606 NORTHWEST 7TH,http://www.pocahontashospital.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"606 NW 7th St, Pocahontas, IA 50574, USA",ChIJvwpoEOWU8ocRKn75lRsWV-U,ROOFTOP,42.7409897,-94.6778971
64,MOUNT AYR,RINGGOLD COUNTY HOSPITAL,CRITICAL ACCESS,504 NORTH CLEVELAND STREET,NOT AVAILABLE,16,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"504 N Cleveland St, Mt Ayr, IA 50854, USA",ChIJO3fhDQiw64cR_0LXOrwlUsg,ROOFTOP,40.71878969999999,-94.2226031
65,HARLAN,MYRTUE MEMORIAL HOSPITAL,CRITICAL ACCESS,1213 GARFIELD AVENUE,http://myrtuemedical.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1213 Garfield Ave, Harlan, IA 51537, USA",ChIJC0GlvEgjk4cRY2IGWykKhx0,ROOFTOP,41.6468754,-95.32699799999999
66,ROCK VALLEY,HEGG MEMORIAL HEALTH CENTER,CRITICAL ACCESS,1202 21ST AVENUE,http://www.hegghc.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1202 21st Ave, Rock Valley, IA 51247, USA",ChIJA1Ok41YkjIcRmftLTGS31Xk,ROOFTOP,43.2027987,-96.2836026
67,ORANGE CITY,ORANGE CITY AREA HEALTH SYSTEM,CRITICAL ACCESS,1000 LINCOLN CIRCLE SE,NOT AVAILABLE,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1000 Lincoln Cir, Orange City, IA 51041, USA",ChIJWbKJNhW1jYcRe8Tz0CUOuRU,ROOFTOP,42.9946175,-96.0449321
68,CLARION,IOWA SPECIALTY HOSPITAL-CLARION,CRITICAL ACCESS,1316 SOUTH MAIN STREET,NOT AVAILABLE,25,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,0,OK,"1316 S Main St, Clarion, IA 50525, USA",ChIJvatKrgj28YcRUHmAmlWel5Y,ROOFTOP,42.7212272,-93.7335391
69,BELMOND,IOWA SPECIALTY HOSPITAL - BELMOND,CRITICAL ACCESS,403 FIRST STREET SE,http://www.iowaspecialtyhospital.com/,22,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,0,OK,"403 1st St SE, Belmond, IA 50421, USA",ChIJY4ty5QeN8YcRVUtqj3M0kGk,ROOFTOP,42.8452592,-93.6122034
70,WASHINGTON,WASHINGTON COUNTY HOSPITAL,CRITICAL ACCESS,"400 EAST POLK, PO BOX 909",http://www.wchc.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"400 E Polk St, Washington, IA 52353, USA",ChIJpbgz2Gwo5IcRzqlh-pkZhmg,ROOFTOP,41.2893139,-91.6875347
71,CORYDON,WAYNE COUNTY HOSPITAL,CRITICAL ACCESS,417 SOUTH EAST STREET,http://www.waynecountyhospital.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"417 S East St, Corydon, IA 50060, USA",ChIJP4M_gtkR6YcRP2JYEHvfdGo,ROOFTOP,40.7542385,-93.31107899999999
