ID,NAME,PHONE,STREET,CITY,STATE,ZIP,FACILITY,result_num,status,formatted_,place_id,location_t,Latitude,Longitude
11,St Anthony Regional Hospital St Anthony Mental Health Services,(712) 794-5435,311 South Clark Street,Carroll,Iowa,51401,MH SUMH OP OMH AT BMT GT PTM TT CIT WI PVTN MC MD PI SF SI COOT ES SPS NRT NSC STU TCC SMON ADLT CHLD SNR YAD,0,OK,"311 S Clark St, Carroll, IA 51401, USA",ChIJc_wUo4k57YcRaPfFlkDMh1U,GEOMETRIC_CENTER,42.0565188,-94.8660012
12,MercyOne Cedar Falls Medical Center,(319) 268-3800,515 College Street,Cedar Falls,Iowa,50613,MH SUMH HI PSY CBT DBT GT IPT PTM TT PVTN CLF MC MD OSF PI SF SI SMHA SE ALZ CDM IPC SPS NRT NSC STU TCC SMON ADLT SNR AH,0,OK,"515 College St, Cedar Falls, IA 50613, USA",ChIJz90Ye6iq-ocRo2yxgTgpRn8,ROOFTOP,42.5336466,-92.4580897
13,Abbe Ctr for Comm Mental Health,(319) 398-3562,520 11th Street NW,Cedar Rapids,Iowa,52405,MH SUMH OP CMHC CBT CFT DBT GT IDD IPT PTM TT WI PVTN CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF SMI ACT COOT FPSY PRS PEER STU TCC SMPD ADLT CHLD SNR YAD SP,0,OK,"520 11th St NW, Cedar Rapids, IA 52405, USA",ChIJMURSMvD55IcRRsXCxEWTP1A,ROOFTOP,41.9774703,-91.6880662
14,Four Oaks Family and Childrens Service,(319) 364-0259,5400 Kirkwood Boulevard SW,Cedar Rapids,Iowa,52404,MH OP RES TELE RTCC AT BMT CBT DBT GT IDD IPT PTM TT PVTN MD PI SCJJ SEF SF SMHA SWFS SED CM FPSY SH SMON CHLD AH SP,0,OK,"5400 Kirkwood Blvd SW, Cedar Rapids, IA 52404, USA",ChIJn81pcun35IcReZLp6WfWlwQ,ROOFTOP,41.9218665,-91.6592802
15,Saint Lukes Counseling Center,(319) 369-7952,225 Coe Road NE,Cedar Rapids,Iowa,52402,MH SUMH OP OMH AT BMT CBT CFT DBT GT IDD IPT TT PVTN CLF MC MD MI PI SF PED CDM COOT DEC ES FPSY IPC SMON ADLT CHLD SNR YAD AH,0,OK,"225 Coe Rd NE, Cedar Rapids, IA 52402, USA",ChIJ3cOTLkv35IcRhqb8FiZzj-Q,ROOFTOP,41.9866492,-91.6594702
16,Tanager Place,(319) 365-9164,2309 C Street SW,Cedar Rapids,Iowa,52404,MH OP RES TELE RTCC AT BMT CBT DBT GT IPT PTM TT PVTN CLF MD OSF PI SF SI GL TRMA PTSD SED ICM SMON CHLD,0,OK,"2309 C St SW, Cedar Rapids, IA 52404, USA",ChIJC-hm7Q_35IcR5LUwmDe9gzc,ROOFTOP,41.9563364,-91.64757019999999
17,UnityPoint Health Childrens Specialty Services,(319) 558-4900,4050 River Ridge Drive NE,Cedar Rapids,Iowa,52402,MH PHDT PH AT CBT DBT GT TT PVTN ITU MC MD MI PI SF SI SMHA VAF SED COOT FPSY SMON CHLD YAD AH,0,OK,"4050 River Ridge Dr NE, Cedar Rapids, IA 52402, USA",ChIJURipGVz65IcRoaLGm6bod-s,ROOFTOP,42.0205632,-91.69938309999999
18,UnityPoint Health Partial Hospitalization,(319) 369-8176,810 First Avenue NE,Cedar Rapids,Iowa,52403,MH SUMH OP PHDT PH AT CBT DBT GT TT PVTN CLF MC MD MI PI SF SI SMHA VAF SMI STU SMPD ADLT SNR YAD AH,0,OK,"810 1st Ave NE, Cedar Rapids, IA 52402, USA",ChIJf4B7DEz35IcRUYrYho1aMHY,ROOFTOP,41.9830772,-91.66183629999999
19,UnityPoint Health St Lukes Hospital Psychiatric Services,(319) 369-7211,1026 A Avenue NE,Cedar Rapids,Iowa,52402,MH SUMH HI PSY AT CBT CFT DBT ECT GT IPT PTM TT WI PVTN CLF MC MD MI PI SF SI SMHA SE ALZ PED SED SMI ES STU TCC SMON ADLT CHLD SNR YAD AH,0,OK,"1026 A Ave NE, Cedar Rapids, IA 52402, USA",ChIJwWNdbEv35IcR9ap_6bZ3AwM,ROOFTOP,41.9853036,-91.66043220000002
20,Community Hlth Ctr of Southern IA,(641) 856-6471,221 East State Street,Centerville,Iowa,52544,MH SUMH OP TELE CMHC BMT CBT CFT DBT IDD IPT PTM TT CIT PVTN FQHC CLF MC MD MI PI SF SI SS CO COOT FPSY SPS STU SMPD ADLT CHLD SNR YAD AH,0,OK,"221 E State St, Centerville, IA 52544, USA",ChIJHyHDNpHx6IcRgeYy2eTXjpU,ROOFTOP,40.7344369,-92.8722459
21,Community Hlth Ctr of Southern IA,(641) 774-8484,1711 Osceola Avenue Suite 115,Chariton,Iowa,50049,MH SUMH OP TELE CMHC BMT CBT CFT DBT IPT PTM TT PVTN FQHC CLF MC MD MI PI SF SI SS COOT FPSY SPS STU SMPD ADLT CHLD SNR YAD AH,0,OK,"1711 Osceola Ave #115, Chariton, IA 50049, USA",Ei4xNzExIE9zY2VvbGEgQXZlICMxMTUsIENoYXJpdG9uLCBJQSA1MDA0OSwgVVNBIh8aHQoWChQKEglprg34xzvphxG1VAbjL9ZhdRIDMTE1,ROOFTOP,41.02145,-93.318778
22,Mental Health Institute,(712) 225-2594,1251 West Cedar Loop,Cherokee,Iowa,51012,MH HI PSY AT BMT PTM TT WI OSG CLF MC MD PI SI SED SMI CM DEC ES FPSY IMR IPC PRS SPS NRT NSC STU TCC SMON ADLT CHLD SNR YAD AH SP,0,OK,"1251 W Cedar Loop, Cherokee, IA 51012, USA",ChIJvcomWGUNjYcRctBDDHJGrOQ,ROOFTOP,42.75709639999999,-95.57211310000001
23,Plains Area Mental Health Center,(712) 225-2575,900 North 2nd Street,Cherokee,Iowa,51012,MH SUMH OP TELE CMHC AT BMT CBT CFT DBT GT IDD IPT PTM TT CIT WI PVTN CLF CMHG CSBG MC MD MI OSF PI SF SI CM COOT ES FPSY IPC PEER STU SMPD ADLT CHLD SNR YAD AH,0,OK,"900 N 2nd St, Cherokee, IA 51012, USA",ChIJ7-rqco8SjYcRaf6358adqr0,ROOFTOP,42.7617603,-95.5499976
24,Southwest Iowa Families Inc,(712) 542-3501,215 East Washington Street,Clarinda,Iowa,51632,MH SUMH OP OMH AT BMT CBT CFT DBT GT IDD IPT TT PVTN CLF MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF SED SMPD ADLT CHLD SNR YAD,0,OK,"215 E Washington St, Clarinda, IA 51632, USA",ChIJxQ7kChcz64cRuJKl5h_mOJE,ROOFTOP,40.7391257,-95.0361677
25,MercyOne Clinton Medical Center Behavioral Health Care,(563) 244-5555,1410 North 4th Street,Clinton,Iowa,52732,MH HI TELE PSY AT PTM PVTN CLF MC MD MI PI SF SI SMHA SWFS SMI CDM SPS NRT STU SMON ADLT SNR YAD AH,0,OK,"1410 N 4th St, Clinton, IA 52732, USA",ChIJpTdsS6Bj4ocR4Pdctjoypbw,GEOMETRIC_CENTER,41.861474,-90.1890143
26,Community Hlth Ctr of Southern IA,(641) 872-1750,102-104 North Franklin Street,Corydon,Iowa,50060,MH SUMH OP TELE CMHC BMT CBT CFT DBT IPT PTM TT PVTN FQHC CLF MC MD MI PI SF SI SS COOT FPSY SPS STU SMPD ADLT CHLD SNR YAD AH SP,0,OK,"102 N Franklin St, Corydon, IA 50060, USA",EikxMDIgTiBGcmFua2xpbiBTdCwgQ29yeWRvbiwgSUEgNTAwNjAsIFVTQSIaEhgKFAoSCbGB7ornEemHEbYZCwjvyBPeEGY,RANGE_INTERPOLATED,40.7577778,-93.31920079999999
27,Health Mercy Mercy McDermott,(402) 717-4674,800 Mercy Drive,Council Bluffs,Iowa,51503,HOPE MH SUMH HI PHDT PSY AT BMT CBT CFT DBT GT IDD IPT PTM TT PVTN CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SWFS VAF CO CDM CM DEC ES FPSY IMR IPC LAD SPS PEER NRT NSC STU SMON ADLT CHLD SNR YAD AHCHI,0,OK,"800 Mercy Dr, Council Bluffs, IA 51503, USA",ChIJh3vc9OuEk4cRGyQNTyhMpWI,GEOMETRIC_CENTER,41.2684748,-95.83939989999999
28,Health Psychiatric Associates Mercy,(712) 328-2609,801 Harmony Street Suite 302,Council Bluffs,Iowa,51503,HOPE MH SUMH OP OMH BMT CBT CFT DBT GT IDD IPT PTM TT PVTN CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF CM COOT ES FPSY IPC SPS SMON ADLT CHLD SNR YAD AH,0,OK,"801 Harmony St #302, Council Bluffs, IA 51503, USA",EjI4MDEgSGFybW9ueSBTdCAjMzAyLCBDb3VuY2lsIEJsdWZmcywgSUEgNTE1MDMsIFVTQSIfGh0KFgoUChIJy0uN9uuEk4cRVOPINmspX7kSAzMwMg,ROOFTOP,41.2691279,-95.838763
29,Christian Home Association Childrens Square USA North,(712) 322-3700,6th Street and Avenue E,Council Bluffs,Iowa,51502,MH OP RES RTCC BMT CBT CFT DBT GT IPT PTM TT PVTN MD MI PI SF SI SED CM COOT ES FPSY SMON CHLD,0,OK,"N 6th St & Avenue E, Council Bluffs, IA 51503, USA",EjJOIDZ0aCBTdCAmIEF2ZW51ZSBFLCBDb3VuY2lsIEJsdWZmcywgSUEgNTE1MDMsIFVTQSJmImQKFAoSCUvnypbjhJOHEYr9WkQi3YlxEhQKEglL58qW44SThxGK_VpEIt2JcRoUChIJH-NwbeOEk4cRXyrhubrVquwaFAoSCckNjb3jhJOHEeKVzYUVpBpUIgoN6LOYGBXrHN7G,GEOMETRIC_CENTER,41.2660712,-95.8522133
30,Heartland Family Service H Lee Gendler Center,(712) 322-1407,515 East Broadway,Council Bluffs,Iowa,51503,MH SUMH OP OMH AT BMT CBT CFT DBT GT IDD IPT PTM TT CIT WI PVTN MC MD PI SF SI PA SS CO TRMA PTSD ACT CDM CM COOT ES FPSY HS ICM IMR IPC SPS PEER NSC STU TCC SMON ADLT CHLD SNR YAD,0,OK,"515 E Broadway, Council Bluffs, IA 51503, USA",ChIJC1nwxe2Ek4cRBsWOnQ4QEEw,ROOFTOP,41.2651563,-95.83976009999999
31,Methodist Jennie Edmundson Hospital Behavioral Health,(712) 396-6044,933 East Pierce Street,Council Bluffs,Iowa,51503,MH SUMH HI PSY AT CFT ECT GT IDD PTM TT PVTN CLF CMHG CSBG MC MD MI OSF PI SF SI SMHA VAF CO CM DEC ES SPS NRT STU TCC SMON ADLT SNR YAD AH,0,OK,"933 E Pierce St, Council Bluffs, IA 51503, USA",ChIJCdh5TpOEk4cRnDly04ycW3k,ROOFTOP,41.26854640000001,-95.8347527
32,Northeast Iowa Mental Health Center,(563) 382-3649,112 North Elm Street,Cresco,Iowa,52136,MH SUMH OP TELE CMHC CBT CFT DBT GT IDD IPT TT PVTN CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS SS CM COOT ICM STU TCC SMON ADLT CHLD SNR YAD AH,0,OK,"112 N Elm St, Cresco, IA 52136, USA",ChIJVeMTIDpC-ocRhpWTBqfQUXY,ROOFTOP,43.3727251,-92.11685469999999
33,Crossroads Behavioral Health Services,(641) 782-8457,1003 Cottonwood Road,Creston,Iowa,50801,MH SUMH OP TELE CMHC AT BMT CBT CFT DBT GT IDD IPT PTM TT CIT WI PVTN FQHC CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF PA SS TAY SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PED PTSD SED SMI CM COOT ES FPSY SPS PEER STU TCC SMON ADLT CHLD SNR YAD AH,0,OK,"1003 Cottonwood Rd, Creston, IA 50801, USA",ChIJQYvLqI-C64cRX7tZCXLPMUc,ROOFTOP,41.0691932,-94.38532459999999
34,Genesis Medical Center West Central Park,(563) 421-2990,1401 West Central Park Avenue,Davenport,Iowa,52804,MH SUMH HI OP PHDT PSY AT CBT DBT ECT GT IDD IPT PTM TT CIT WI PVTN CLF MC MD MI PI SF CO PTSD SED SMI CM DEC ES FPSY IMR SPS NRT NSC STU TCC SMON ADLT CHLD SNR YAD AH,0,OK,"1401 W Central Park Ave, Davenport, IA 52804, USA",ChIJ1ynv3cg04ocRoWPI3l5jgTA,ROOFTOP,41.543537,-90.59402759999999
35,Terrace Ridge,(563) 823-3460,4626 Progress Drive Suite D,Davenport,Iowa,52807,MH SUMH OP CMHC BMT CBT DBT GT IPT PTM CIT WI PVTN CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF SED SMI CM COOT ES FPSY ICM IMR PRS SPS PEER NSC STU TCC SMPD ADLT CHLD SNR YAD AH,0,OK,"4626 Progress Dr Suite D, Davenport, IA 52807, USA",EjI0NjI2IFByb2dyZXNzIERyIFN1aXRlIEQsIERhdmVucG9ydCwgSUEgNTI4MDcsIFVTQSIjGiEKFgoUChIJqz0QXXo24ocRAdU_jmHCBHkSB1N1aXRlIEQ,ROOFTOP,41.5686967,-90.5191737
36,Vera French Community MH Center,(563) 383-1900,1441 West Central Park Avenue,Davenport,Iowa,52804,MH SUMH OP CMHC BMT CBT CFT DBT GT IPT PTM CIT WI PVTN CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF SED SMI ACT COOT ES FPSY IMR PRS SPS PEER NSC STU TCC SMPD ADLT CHLD SNR YAD AH SP,0,OK,"1441 W Central Park Ave, Davenport, IA 52804, USA",ChIJIQz9zM404ocReaRqf0cRegs,ROOFTOP,41.5448404,-90.59514639999999
37,Vera French Sheridan Springs,(563) 345-6670,5006 Sheridan Street,Davenport,Iowa,52806,MH RES RTCA AT BMT GT IDD IPT PTM PVTN CLF MD SF SI SMI CDM COOT DEC IMR LAD PRS SEMP SPS NSC STU TCC SMPD ADLT SNR YAD AH,0,OK,"5006 Sheridan St, Davenport, IA 52806, USA",ChIJM_uoQxA14ocRCqofhxpeIys,ROOFTOP,41.5711977,-90.57473089999999
38,Northeast Iowa Behavioral Health,(563) 382-3649,905 Montgomery Street,Decorah,Iowa,52101,MH SUMH OP TELE CMHC BMT CBT CFT DBT GT IDD IPT PTM TT PVTN CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS SS CM COOT ICM SPS STU SMON ADLT CHLD SNR YAD AH SP,0,OK,"905 Montgomery St, Decorah, IA 52101, USA",ChIJOQ8zUsCt-4cRMYj5CjvohVE,ROOFTOP,43.2945279,-91.77117580000001
39,Penn Center RCF,(563) 922-2881,2237 245th Street,Delhi,Iowa,52223,MH SUMH RES RTCA GT IPT PTM PVTN CLF MI OSF PI SF SMHA VAF SMI COOT DEC IPC SPS NRT NSC STU TCC SMPD ADLT SNR YAD,0,OK,"2237 245th St, Delhi, IA 52223, USA",ChIJkVxO-S-u5IcRZZLSKmCoN_8,ROOFTOP,42.4347257,-91.3568952
40,Plains Area Mental Health Center,(712) 263-3172,515 Highway 39,Denison,Iowa,51442,MH SUMH OP TELE CMHC AT BMT CBT CFT DBT GT IDD IPT PTM TT CIT WI PVTN CLF CMHG CSBG MC MD MI OSF PI SF SI CM COOT ES FPSY IPC PEER STU SMPD ADLT CHLD SNR YAD AH,0,OK,"515 IA-39, Denison, IA 51442, USA",ChIJ4_E3OCPCkocRY_JPvbObG10,ROOFTOP,42.0227605,-95.3692178
41,Broadlawns Medical Center Center for Mental Health,(515) 282-2200,1801 Hickman Road,Des Moines,Iowa,50314,MH SUMH HI OP RES PSY AT BMT CBT DBT ECT GT IDD IPT PTM TT CIT WI PVTN CLF CMHG CSBG MC MD MI PI SF SI SMHA PA SS CO SMI CM COOT DEC SPS NSC STU TCC SMON ADLT YAD AH,0,OK,"1801 Hickman Rd, Des Moines, IA 50314, USA",ChIJv1FPnV2Z7ocRHDpEzaPta1Q,ROOFTOP,41.616506,-93.64214969999999
42,Eyerly Ball Community MH Services,(515) 241-0982,945 19th Street,Des Moines,Iowa,50314,MH OP TELE CMHC BMT CBT CFT GT IDD IPT PTM TT CIT PVTN CLF CMHG MC MD MI PI SF SI VAF SS CJ CO PTSD ACT CM COOT DEC FPSY IPC PRS SEMP SH VRS PEER SMPD ADLT SNR YAD AH SP,0,OK,"945 19th St, Des Moines, IA 50314, USA",ChIJc51PYD2Z7ocR24MBF4gRTBc,ROOFTOP,41.5948717,-93.64212719999999
43,Eyerly Ball Residential,(515) 279-1015,5631 Francis Avenue,Des Moines,Iowa,50310,MH SUMH RES RTCA BMT CBT DBT GT IPT PTM TT PVTN CLF CMHG MC MD SF SI SMHA SMI FPSY STU SMPD ADLT SNR YAD,0,OK,"5631 Francis Ave, Des Moines, IA 50310, USA",ChIJ73asrYWe7ocRvb9kWFKa5l4,ROOFTOP,41.6140712,-93.6958049
44,Eyerly Ball Residential Cummins House,(515) 277-7933,940 Cummins Parkway,Des Moines,Iowa,50312,MH RES RTCA AT CBT DBT GT IPT PTM TT PVTN CLF MC MD SF SMI FPSY STU SMPD ADLT SNR YAD,0,OK,"940 Cummins Pkwy, Des Moines, IA 50312, USA",ChIJdYV6JPae7ocRNujy1Fc7UPo,ROOFTOP,41.595013,-93.7024641
45,Iowa Lutheran Hospital Behavioral Health Services,(515) 263-5230,700 East University Avenue,Des Moines,Iowa,50316,MH HI OP PHDT PSY AT CBT CFT ECT GT IPT PTM CIT WI PVTN CLF MC MD MI PI SF SE CM COOT DEC PRS SPS NRT NSC STU TCC SMON ADLT CHLD SNR YAD,0,OK,"700 E University Ave, Des Moines, IA 50316, USA",ChIJJbTUu7yZ7ocRJUP9zrsdfIo,GEOMETRIC_CENTER,41.60142,-93.6097501
46,Mercy Medical Center Mercy Behavioral Health,(515) 271-6111,1111 6th Avenue,Des Moines,Iowa,50314,MH HI OP PHDT TELE PSY AT CBT CFT DBT GT IPT PTM TT CIT WI PVTN MC MD MI PI SF SI ES FPSY STU SMON ADLT CHLD SNR YAD AH,0,OK,"1111 6th Ave, Des Moines, IA 50314, USA",ChIJ71oIBgqZ7ocR0U3kELrkthw,ROOFTOP,41.5986713,-93.6228884
47,MercyOne Des Moines First Step Recovery,(515) 271-6075,1750 48th Street Suite 2,Des Moines,Iowa,50310,MH SUMH OP OMH AT BMT CBT CFT DBT GT IDD IPT PTM CIT PVTN MC MD MI PI SF SI CO COOT FPSY IMR SPS PEER STU TCC SMON ADLT CHLD SNR YAD,0,OK,"1750 48th St #2, Des Moines, IA 50310, USA",EioxNzUwIDQ4dGggU3QgIzIsIERlcyBNb2luZXMsIElBIDUwMzEwLCBVU0EiHRobChYKFAoSCdfvKsyXnu6HEZxzzhpJPyBjEgEy,ROOFTOP,41.6099111,-93.68347969999999
48,Orchard Place Child Guidance Center,(515) 244-2267,808 5th Avenue,Des Moines,Iowa,50309,MH OP TELE CMHC AT CBT CFT GT IDD IPT PTM TT PVTN CLF CMHG MD MI OSF PI SCJJ SEF SF SMHA SWFS PA SS TRMA SED COOT FPSY SPS SMPD CHLD YAD AH,0,OK,"808 5th Ave, Des Moines, IA 50309, USA",ChIJ3X8mVwaZ7ocRqIF_qDDExhM,ROOFTOP,41.5918329,-93.6248674
49,Orchard Place PACE,(515) 697-5700,620 8th Street,Des Moines,Iowa,50309,MH OP OMH BMT CBT GT IPT TT PVTN CLF MC MD MI PI SCJJ SF SI SWFS TAY MF CO TRMA SED CM COOT ES FPSY IPC STU SMON CHLD YAD AH SP,0,OK,"620 8th St, Des Moines, IA 50309, USA",ChIJb6e-kQOZ7ocRf9trHqNRBXQ,ROOFTOP,41.5884091,-93.62846929999999
50,Orchard Place,(515) 285-6781,925 Porter Avenue,Des Moines,Iowa,50315,MH SUMH RES RTCC AT CBT CFT DBT GT IPT PTM TT PVTN MD MI PI SF SI GL MF CO TRMA PTSD SED CM DEC ES FPSY SMON CHLD SP,0,OK,"925 Porter Ave, Des Moines, IA 50315, USA",ChIJtyxLVnui7ocRRlecr92ROkE,GEOMETRIC_CENTER,41.5347825,-93.6274797
51,Hillcrest Family Services,(563) 582-0145,200 Mercy Drive,Dubuque,Iowa,52001,MH SUMH OP TELE CMHC CBT CFT DBT GT IPT PTM TT CIT WI PVTN CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS COOT SPS STU SMON ADLT CHLD SNR YAD,0,OK,"200 Mercy Dr, Dubuque, IA 52001, USA",ChIJaQaon4sr44cRI_Sr-XJMV_w,ROOFTOP,42.4925309,-90.6747809
52,Hillcrest Family Services  Asbury,(563) 583-7357,2005 Asbury Road,Dubuque,Iowa,52001,MH SUMH OP CMHC CBT CFT DBT GT IPT TT CIT PVTN CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS COOT SPS STU SMON ADLT CHLD SNR YAD,0,OK,"2005 Asbury Rd, Dubuque, IA 52001, USA",ChIJgd6Telks44cRkWSAYy5MV6U,ROOFTOP,42.5052444,-90.70292320000001
53,MercyOne Dubuque Medical Center Psychiatric Services,(563) 589-9299,250 Mercy Drive,Dubuque,Iowa,52001,MH SUMH HI PSY AT ECT GT IPT PTM PVTN MC MD MI PI SF SI SMHA VAF SED CM DEC NRT NSC STU TCC SMON ADLT CHLD SNR YAD AH,0,OK,"250 Mercy Dr, Dubuque, IA 52001, USA",ChIJC1tIB4sr44cRjnzA1yfj5fw,ROOFTOP,42.492721,-90.6750809
54,Unitypoint Finley Hospital Behavioral Health,(563) 589-2566,350 North Grandview Street,Dubuque,Iowa,52002,MH HI OP PHDT PSY AT BMT CBT CFT DBT GT IPT PTM TT PVTN MC MD MI PI SF SI SE TRMA ALZ PTSD NRT NSC STU TCC SMON ADLT SNR YAD AH,0,OK,"350 N Grandview Ave, Dubuque, IA 52001, USA",ChIJy5yEwXEs44cRl3Ejt9abMf0,ROOFTOP,42.4962806,-90.6859143
55,UnityPoint Health Finley Hospital,(563) 582-1881,350 North Grandview Avenue,Dubuque,Iowa,52001,MH HI OP PSY AT CBT CFT GT IPT PTM TT PVTN MC MD MI PI SI SE TRMA ALZ PTSD CDM CM SPS NRT STU TCC SMON ADLT SNR YAD AH SP,0,OK,"350 N Grandview Ave, Dubuque, IA 52001, USA",ChIJy5yEwXEs44cRl3Ejt9abMf0,ROOFTOP,42.4962806,-90.6859143
